m,l0,phi,eps,is_sat
0.28894472,0.02,1.0401113,0.17229854,False
0.2914573,0.02,1.0415281,0.17423712,False
0.29396984,0.02,1.0429283,0.17617898,False
0.2964824,0.02,1.0443119,0.17812446,False
0.29899496,0.02,1.0456792,0.18007304,False
0.30150753,0.02,1.0470307,0.18202524,False
0.3040201,0.02,1.0483665,0.18398058,False
0.30653265,0.02,1.0496869,0.1859392,False
0.30904523,0.02,1.0509923,0.18790132,False
0.3115578,0.02,1.0522828,0.18986666,False
0.31407034,0.02,1.0535586,0.19183503,False
0.31658292,0.02,1.0548203,0.1938067,False
0.31909546,0.02,1.0560676,0.1957816,False
0.32160804,0.02,1.057301,0.19775961,False
0.3241206,0.02,1.0585209,0.19974096,False
0.32663316,0.02,1.0597277,0.201729,False
0.32914573,0.02,1.0609206,0.20371248,False
0.33165827,0.02,1.062101,0.20570807,False
0.33417085,0.02,1.063268,0.2076968,False
0.33668342,0.02,1.0644228,0.2096936,False
0.33919597,0.02,1.0655651,0.21169318,False
0.34170854,0.02,1.0666952,0.21369982,False
0.34422112,0.02,1.0678133,0.21570192,False
0.34673366,0.02,1.0689195,0.21771063,False
0.34924623,0.02,1.0700141,0.21972229,False
0.35175878,0.02,1.0710971,0.22173715,False
0.35427135,0.02,1.0721688,0.223755,False
0.35678393,0.02,1.0732294,0.22577554,False
0.35929647,0.02,1.0742791,0.22779888,False
0.36180905,0.02,1.0753179,0.22982538,False
0.3643216,0.02,1.0763458,0.23185456,False
0.36683416,0.02,1.0773634,0.23388691,False
0.36934674,0.02,1.0783706,0.235922,False
0.37185928,0.02,1.0793675,0.23795994,False
0.37437186,0.02,1.0803543,0.24000072,False
0.37688443,0.02,1.0813313,0.24204451,False
0.37939698,0.02,1.0822983,0.24409074,False
0.38190955,0.02,1.0832556,0.24614014,False
0.3844221,0.02,1.0842035,0.2481922,False
0.38693467,0.02,1.0851419,0.25024697,False
0.38944724,0.02,1.086071,0.25230455,False
0.3919598,0.02,1.0869911,0.25436515,False
0.39447236,0.02,1.0879021,0.2564283,False
0.39698493,0.02,1.088804,0.25849417,False
0.39949748,0.02,1.0896972,0.26056266,False
0.40201005,0.02,1.0905818,0.2626341,False
0.4045226,0.02,1.0914576,0.26470816,False
0.40703517,0.02,1.0923251,0.26678506,False
0.40954775,0.02,1.0931842,0.26886463,False
0.4120603,0.02,1.094035,0.27094665,False
0.41457286,0.02,1.0948777,0.2730318,False
0.4170854,0.02,1.0957122,0.27511925,False
0.41959798,0.02,1.0965388,0.27720943,False
0.42211056,0.02,1.0973575,0.27930242,False
0.4246231,0.02,1.0981685,0.28139818,False
0.42713568,0.02,1.0989717,0.28349638,False
0.42964825,0.02,1.0997676,0.2855974,False
0.4321608,0.02,1.1005558,0.2877009,False
0.43467337,0.02,1.1013365,0.28980717,False
0.4371859,0.02,1.10211,0.29191598,False
0.4396985,0.02,1.1028763,0.29402727,False
0.44221106,0.02,1.1036354,0.29614148,False
0.4447236,0.02,1.1043875,0.29825804,False
0.44723618,0.02,1.1051329,0.30038473,False
0.44974872,0.02,1.1058706,0.30250147,False
0.4522613,0.02,1.1066018,0.3046239,False
0.45477387,0.02,1.1073264,0.30675212,False
0.45728642,0.02,1.1080445,0.308886,False
